"id";"name";"age_group_id";"base_price";"price_levels";"sell_code"
1;"Pants Adult";3;20;"0,10,15,20,25,30,35";"P"
2;"Pants and Parka Adult";3;30;"0,10,15,20,25,30,35";"PP"
3;"Apres Boots Adults";3;10;"0,5,10,15,20,25,25";"A"
4;"Helmet";3;10;"0,5,10,13,16,19,21";"H"
5;"Pants or Parka U14";2;18;"0,5,9,13,17,21,25";"PY"
6;"Pants and Parka U14";2;24;"0,10,15,20,25,29,33";"PPY"
7;"Apres Boots U14";2;8;"0,4,7,9,11,13,15";"AK"
8;"Helmet kids";2;0;"0,0,0,0,0,0,0";"HK"
9;"Pants and Parka/suit U6";1;18;"0,5,9,13,17,21,25";"PPK"
10;"Pants or Parka U6";1;14;"0,5,9,13,17,21,25";"PK"
11;"Apres Boots U14";1;8;"0,4,7,9,11,13,15";"AK"
12;"Helmet kids";1;0;"0,0,0,0,0,0,0";"HK"
13;"Pants Adult";4;20;"0,10,15,20,25,30,35";"P"
14;"Pants and Parka Adult";4;30;"0,10,15,20,25,30,35";"PP"
15;"Apres Boots Adults";4;10;"0,5,10,15,20,25,25";"A"
16;"Helmet";4;10;"0,5,10,13,16,19,21";"H"
